bench,matches,minutes,name
0,3,225,Marcin Adamski
0,9,765,Józef Adamiec
0,9,810,Józef Adamek
2,3,126,Krzysztof Adamczyk
1,13,1054,Henryk Alszer
2,2,39,Waldemar Adamczyk
1,18,1575,Spirydion Albański
3,11,793,Dariusz Adamczuk
1,1,45,Stanisław Andrzejewski
1,48,4183,Zygmunt Anczok
0,1,90,Antoni Amirowicz
3,7,414,Teodor Anioła
0,1,65,Henryk Apostel
1,1,14,Rafał Augustyniak
8,12,546,Jarosław Araszkiewicz
0,2,180,Jan Badura
8,35,2513,Jarosław Bako
0,10,835,Mieczysław Balcer
3,15,976,Henryk Bałuszyński
5,31,2233,Jan Banaś
2,7,445,Tomasz Bandrowski
1,1,17,Janusz Baran
0,6,527,Hubert Banisz
3,10,548,Krzysztof Baran
4,9,617,Stanisław Baran
0,5,450,Maksymilian Barański
1,8,511,Hieronim Barczak
1,7,556,Henryk Bartyla
1,2,52,Grzegorz Bartczak
1,17,1476,Antoni Barwiński
7,35,2625,Marcin Baszczyński
0,20,1755,Krzysztof Baszkiewicz
0,3,270,Gustaw Bator
0,11,990,Mieczysław Batsch
1,1,45,Jacek Bayer
1,21,1827,Roman Bazan
7,13,759,Arkadiusz Bąk
0,1,66,Mirosław Bąk
4,30,2411,Jan Bednarek
3,5,250,Jacek Bednarz
1,5,424,Witold Bendkowski
12,96,7236,Jacek Bąk
4,4,145,Jan Benigier
1,2,115,Jacek Berensztajn
6,32,2326,Bartosz Bereszyński
1,2,169,Edmund Białas
0,1,90,Jan Białas
0,1,90,Marek Biegun
1,1,45,Bartosz Białkowski
2,2,47,Krzysztof Bizacki
1,3,200,Krystian Bielik
1,7,552,Zdzisław Bieniek
3,8,382,Jarosław Bieniuk
0,1,90,Edward Bill
3,36,2865,Bernard Blaut
0,1,90,Zygfryd Blaut
1,1,1,Andrzej Bledzewski
0,2,180,Tadeusz Błachno
21,108,7680,Jakub Błaszczykowski
0,1,67,Jacek Bobrowicz
0,5,371,Henryk Bobula
1,2,135,Paweł Bochniewicz
3,14,1040,Sebastian Boenisch
1,6,367,Rafał Boguski
2,2,47,Daniel Bogusz
2,5,348,Czesław Boguszewicz
1,2,135,Modest Boguszewski
0,1,45,Henryk Bolesta
0,1,45,Grzegorz Bonin
9,80,6484,Zbigniew Boniek
10,65,4840,Artur Boruc
0,5,429,Henryk Borucz
4,12,645,Ariel Borysiuk
7,20,1203,Bartosz Bosacki
0,1,45,Antoni Böttcher
0,2,135,Henryk Bożek
1,4,299,Oskar Brajter
0,9,810,Henryk Brejza
0,2,180,Paweł Brol
0,2,180,Walter Brom
0,14,1167,Grzegorz Bronowicki
1,3,218,Łukasz Broź
18,38,1754,Paweł Brożek
3,5,218,Piotr Brożek
5,58,4857,Lucjan Brychczy
5,42,3432,Jerzy Brzęczek
2,6,419,Edward Brzozowski
1,1,17,Piotr Brzoza
1,10,734,Kazimierz Buda
5,7,246,Tomasz Brzyski
0,1,45,Adrian Budka
0,3,234,Krzysztof Budka
0,2,180,Ryszard Budka
10,17,811,Krzysztof Bukalski
3,23,1837,Mirosław Bulzacki
5,26,1916,Bronisław Bula
0,22,1980,Jerzy Bułanow
4,51,3856,Andrzej Buncol
7,10,474,Marcin Burkhardt
0,2,180,Stanisław Burzyński
